valid,0

"Full Results Table"

Benchmark,"Base Ref Time","Est. Base Run Time","Est. Base Ratio","Base Selected","Base Status","Peak Ref Time","Est. Peak Run Time","Est. Peak Ratio","Peak Selected","Peak Status",Description
101.tpacf,107,7.676656,13.938361,1,S,,,,,,,,,,,,"ref iteration #1"
103.stencil,,,,,NR,,,,,NR
104.lbm,,,,,NR,,,,,NR
110.fft,,,,,NR,,,,,NR
112.spmv,,,,,NR,,,,,NR
114.mriq,,,,,NR,,,,,NR
116.histo,,,,,NR,,,,,NR
117.bfs,,,,,NR,,,,,NR
118.cutcp,,,,,NR,,,,,NR
120.kmeans,,,,,NR,,,,,NR
121.lavamd,,,,,NR,,,,,NR
122.cfd,,,,,NR,,,,,NR
123.nw,,,,,NR,,,,,NR
124.hotspot,,,,,NR,,,,,NR
125.lud,,,,,NR,,,,,NR
126.ge,,,,,NR,,,,,NR
127.srad,,,,,NR,,,,,NR
128.heartwall,,,,,NR,,,,,NR
140.bplustree,,,,,NR,,,,,NR

"Selected Results Table"

Benchmark,"Base Ref Time","Est. Base Run Time","Est. Base Ratio","Base Selected","Base Status","Peak Ref Time","Est. Peak Run Time","Est. Peak Ratio","Peak Selected","Peak Status",Description
101.tpacf,107,7.676656,13.938361,1,S,,,,,NR,"SelectedIteration (base #1)"
103.stencil,,,,,NR,,,,,NR
104.lbm,,,,,NR,,,,,NR
110.fft,,,,,NR,,,,,NR
112.spmv,,,,,NR,,,,,NR
114.mriq,,,,,NR,,,,,NR
116.histo,,,,,NR,,,,,NR
117.bfs,,,,,NR,,,,,NR
118.cutcp,,,,,NR,,,,,NR
120.kmeans,,,,,NR,,,,,NR
121.lavamd,,,,,NR,,,,,NR
122.cfd,,,,,NR,,,,,NR
123.nw,,,,,NR,,,,,NR
124.hotspot,,,,,NR,,,,,NR
125.lud,,,,,NR,,,,,NR
126.ge,,,,,NR,,,,,NR
127.srad,,,,,NR,,,,,NR
128.heartwall,,,,,NR,,,,,NR
140.bplustree,,,,,NR,,,,,NR

SPECaccel_ocl_base,--,,--
SPECaccel_ocl_peak,"Not Run",,,,,,,"Not Run"

"Run number:",001

"Hardware Vendor:","Computer System Incorporated"
"Hardware Model:","Computer System XXX"
"Date tested:",Jan-2021
"ACCEL License:",
"Test sponsor:","Computer System Incorporated"
"Tested by:","Computer System Incorporated"
"Hardware avail:",--
"Software avail:",--


HARDWARE

"CPU Name","Intel Xeon E5-2670 v3"
"CPU Characteristics"," "
"CPU MHz",350
"CPU MHz Maximum",--
FPU,--
"CPU(s) enabled","-1 cores, 2 chips, -1 cores/chip, -1 threads/core"
"CPU(s) orderable",--
"Primary Cache",--
"Secondary Cache",--
"L3 Cache",--
"Other Cache",--
Memory,"4 GB"
,"125.533 GB fixme: If using DDR3, format is:"
,"'N GB (M x N GB nRxn PCn-nnnnnR-n, ECC)'"
"Disk Subsystem","932 GB  add more disk info here"
"Other Hardware",--

ACCELERATOR

"Accel Model Name",--
