,index,application,sm_app_clock,gr_engine_active,sm_active,sm_occupancy,TENSO,dram_active,fp64_active,fp32_active,FP16A,pcie_tx_bytes,pcie_rx_bytes,gpu_utilization,mem_copy_utilization,MUSAM,GUSAM,power_usage,total_energy_consumption,run_time,fp_active
47,47,bfs,862,0.904702867,0,0,0,0.196085143,0,0.002561251,0,21483786.47,42605489.48,86.6785404,23.04300608,22.49913119,86.03779322,64.21794526,1208.771,22.4,0.002561251
48,48,bfs,870,0.95093531,0,0,0,0.196085143,0,0.002,0,21483786.47,42605489.48,87.42048518,25.02425876,24.49056604,86.67924528,66.91555526,133.45,21.7,0.002
49,49,bfs,877,0.908156752,0,0,0,0.20455102,0,0.002540165,0,21372665.82,41770216.99,87.19235779,23.98827616,23.66348241,86.67129831,65.75547634,1183.1,21.82333333,0.002540165
50,50,bfs,885,0.912777211,0,0,0,0.203957058,0,0.002467687,0,19051666.15,25816916.99,86.44472789,23.5667517,23.38732993,86.20620748,66.58191071,1195.642,21.73333333,0.002467687
51,51,bfs,892,0.905508779,0,0,0,0.207778587,0,0.002403426,0,19732082.46,21728252.62,88.37558887,23.98715203,23.1764454,87.80856531,65.96188694,1173.269,21.61,0.002403426
52,52,bfs,900,0.933294906,0,0,0,0.207778587,0,0.002018767,0,19732082.46,21728252.62,90.59785523,25.4772118,24.57908847,90.25201072,61.71353083,136.801,21.46,0.002018767
53,53,bfs,907,0.902513634,0,0,0,0.207164506,0,0.002583818,0,21967750.47,25544322.27,89.09029951,24.67232901,24.24139473,88.65847117,66.41912249,1162.29,21.17666667,0.002583818
54,54,bfs,915,0.906905605,0,0,0,0.207336283,0,0.002436087,0,20122146.02,30470731.13,88.07620452,24.21976401,23.63520157,87.42969518,67.19220206,1176.573,21.55,0.002436087
55,55,bfs,922,0.90198714,0,0,0,0.210795565,0,0.002478492,0,18534938.4,20692250.16,84.8864745,24.08381375,23.51662971,84.38625277,67.91563548,1193.562,21.67666667,0.002478492
56,56,bfs,930,0.90481629,0,0,0,0.210795928,0,0.002376471,0,20813579,28548124.64,85.46153846,24.13891403,23.85429864,85.24117647,67.85471448,1190.221,21.33666667,0.002376471
57,57,bfs,937,0.908027132,0,0,0,0.211122578,0,0.002475775,0,18963283.81,21542460.47,89.14583333,24.92781008,24.57170543,88.64728682,67.971047,1163.41,21.14666667,0.002475775
58,58,bfs,945,0.903562925,0,0,0,0.209159864,0,0.002383078,0,20928325.84,39842571.94,86.31590136,24.53316327,23.84693878,85.65731293,68.0018801,1188.239,21.45,0.002383078
59,59,bfs,952,0.906538221,0,0,0,0.213385785,0,0.002401878,0,23346109.42,56372942.07,89.34376397,25.10952168,24.7934734,88.87751453,68.53658918,1164.002,21.29333333,0.002401878
60,60,bfs,960,0.906019531,0,0,0,0.213237305,0,0.002310059,0,20617667.25,31192901.23,89.05761719,25.24755859,24.53466797,88.47314453,68.72453516,1170.117,20.82,0.002310059
61,61,bfs,967,0.906962349,0,0,0,0.212873151,0,0.002373375,0,22310438.31,48025849.38,89.23083819,25.22770058,24.3617212,88.48095025,68.95787584,1167.168,21.10666667,0.002373375
62,62,bfs,975,0.688893646,0,0,0,0.1165,0,0.001504144,0,5576970,6069056,79.13535912,21.23066298,20.85220994,78.77624309,61.52913812,205.58,21.20666667,0.001504144
63,63,bfs,982,0.907121693,0,0,0,0.214262787,0,0.002337743,0,22328853.63,50723686.85,88.37566138,25.22707231,24.60670194,87.89814815,69.06488272,1174.997,21.01,0.002337743
64,64,bfs,990,0.902072694,0,0,0,0.213935484,0,0.002313948,0,19221470.56,21748925.2,85.24488869,23.94320763,23.15356656,84.49068605,69.24400636,1208.858,21.40333333,0.002313948
65,65,bfs,997,0.903753853,0,0,0,0.213676794,0,0.002324527,0,23948564.2,65315982.56,88.67062968,25.22192867,24.67679436,88.12813738,69.39293219,1177.818,20.55333333,0.002324527
66,66,bfs,1005,0.932114213,0,0,0,0.18,0,0.002,0,17156534,18994734,89.20558376,27.17005076,26.53553299,88.74365482,68.27224365,137.252,21.27666667,0.002
