,application,sm_app_clock,gr_engine_active,sm_active,sm_occupancy,TENSO,dram_active,fp64_active,fp32_active,FP16A,pcie_tx_bytes,pcie_rx_bytes,gpu_utilization,mem_copy_utilization,MUSAM,GUSAM,power_usage,total_energy_consumption,run_time,fp_active,predicted_power_usage,predicted_run_time,energy,predicted_energy
22,bfs,675,0.933523377,0,0,0,0.154457787,0,0.002412042,0,16860310.79,18801849.02,92.20282543,19.2926337,18.74806593,91.4086781,57.12352842,1312.442,26.91666667,0.002412042,56.48568851,26.9283,1537.574973,1521.063566
23,bfs,682,0.925144099,0,0,0,0.155123036,0,0.002474089,0,18251228.07,25299357.05,91.91240388,19.10096958,18.62320294,91.38448679,56.69236677,1312.436,26.90333333,0.002474089,57.04423651,26.88310476,1525.21364,1533.526186
24,bfs,690,0.929691156,0,0,0,0.16372551,0,0.002503401,0,17038692.92,18772464.65,91.42857143,20.03809524,19.42959184,90.83877551,58.3622568,1280.212,25.91333333,0.002503401,57.28124769,26.05419285,1512.360614,1492.416674
25,bfs,697,0.880350923,0,0,0,0.16372551,0,0.002976253,0,17038692.92,18772464.65,83.7414248,17.03430079,16.40897098,83.21635884,51.26226121,120.167,26.39,0.002976253,57.38228854,26.16523571,1352.811073,1501.421105
26,bfs,705,0.928071649,0,0,0,0.159314364,0,0.002549537,0,19463598.69,44432623.68,92.30167981,20.2691121,19.73808708,91.7404868,58.47442441,1275.957,25.63333333,0.002549537,56.54790197,25.82866428,1498.894412,1460.556776
27,bfs,712,0.928070108,0,0,0,0.164929892,0,0.002439484,0,17164302.96,18621963.38,88.5936519,19.44715731,18.91524241,88.07080572,58.34716184,1301.417,26.47333333,0.002439484,58.78776448,26.15216666,1544.643864,1537.427414
28,bfs,720,0.925752101,0,0,0,0.167019608,0,0.002467087,0,17670808.63,19537943.03,91.29446779,20.67787115,20.26085434,90.78396359,59.27470798,1268.23,25.34,0.002467087,58.83981379,25.36453809,1502.0211,1492.444698
29,bfs,727,0.922296595,0,0,0,0.16519656,0,0.00271218,0,19783408.23,40281242.42,92.06984907,20.70937171,20.17374517,91.35696736,59.02943173,1259.471,25.06,0.00271218,57.21698036,25.29463809,1479.277559,1447.282811
30,bfs,735,0.923639589,0,0,0,0.1703221,0,0.00242249,0,21143790.09,48400594.85,91.31748847,20.49982263,19.95778645,90.74565449,59.27098936,1268.434,25.10333333,0.00242249,59.38067141,25.35725238,1487.899403,1505.730671
31,bfs,742,0.918767974,0,0,0,0.165526144,0,0.002425563,0,17948024.36,19868603.08,87.93609296,19.72803195,19.31808279,87.47639797,59.06055556,1306.087,25.76,0.002425563,58.9215575,25.48474524,1521.399911,1501.600882
32,bfs,750,0.921336134,0,0,0,0.172747517,0,0.002466769,0,17229790.05,19129594.4,87.71772345,20.68525592,20.09931245,87.1329259,60.37907716,1264.722,24.55666667,0.002466769,60.33612607,24.64464589,1482.708872,1486.962461
33,bfs,757,0.924770475,0,0,0,0.174822042,0,0.002516684,0,17490101.74,21345957.58,88.93899562,21.15503876,20.40040445,88.38961914,60.54922009,1259.853,24.7,0.002516684,60.53488695,24.54856969,1495.565736,1486.044891
34,bfs,765,0.921411852,0,0,0,0.175357778,0,0.00253963,0,20760644.97,47330619.99,91.20851852,21.55592593,21.14296296,90.90666667,60.72817593,1245.256,24.44666667,0.00253963,60.69941202,24.55307857,1484.601474,1490.357432
35,bfs,772,0.92187301,0,0,0,0.175063689,0,0.002368932,0,18331371.15,20165898.75,90.82524272,21.37165049,20.73436893,90.32038835,60.81068311,1247.305,24.54333333,0.002368932,60.8717548,24.41345194,1492.496866,1486.08966
36,bfs,780,0.860071429,0,0,0,0.185,0,0.002357143,0,17199660,19075568,89.78571429,21.21428571,20.5,89.57142857,62.99978571,100.311,23.63666667,0.002357143,61.81395816,23.77737684,1489.104935,1469.773777
37,bfs,787,0.918615624,0,0,0,0.181649825,0,0.00248426,0,18229645.63,20155497.1,90.8297707,22.12281384,21.67158958,90.49630781,61.68195764,1217.152,23.94,0.00248426,62.20615079,23.8362,1476.666066,1482.758251
38,bfs,795,0.923538917,0,0,0,0.180664955,0,0.002413275,0,17557436.24,19522636.36,88.24654287,21.77518767,21.23706045,87.6325563,62.12534729,1242.099,23.88333333,0.002413275,61.95919245,23.96724762,1483.760378,1484.991308
39,bfs,802,0.9199356,0,0,0,0.1812664,0,0.0024712,0,18138546.09,20258092.84,87.552,21.5008,20.9808,87.1792,61.7989952,1244.265,24.07666667,0.0024712,62.38049682,23.91942143,1487.913808,1492.105392
40,bfs,810,0.914517811,0,0,0,0.189169418,0,0.002526064,0,19329001.83,24497897.13,88.38227628,22.41225022,21.91659427,87.63814075,63.08094483,1217.686,23.16666667,0.002526064,63.17350391,23.18121905,1461.375222,1464.438832
41,bfs,817,0.913768447,0,0,0,0.189547493,0,0.002611496,0,20278012.28,37460300.85,88.2531594,22.51161843,22.2270689,88.15165104,63.09166572,1210.952,23.19,0.002611496,62.80342099,23.16605,1463.095728,1454.907191
42,bfs,825,0.915880609,0,0,0,0.190934541,0,0.002577192,0,20436782.54,40818964.95,87.92342528,22.52573075,21.87361054,87.38452038,63.55778304,1219.378,23.10333333,0.002577192,63.20484127,23.16932857,1468.396647,1464.413735
43,bfs,832,0.649333333,0,0,0,0.135333333,0,0.002,0,14112275.33,17709522,78.33333333,20,19.33333333,78,54.941,97.306,23.25,0.002,58.03620179,23.13513095,1277.37825,1342.675128
44,bfs,840,0.912788165,0,0,0,0.195649228,0,0.002499142,0,17839849.75,20217351.43,87.5102916,23.05746141,22.73327616,87.08533448,64.99478688,1205.983,22.64666667,0.002499142,64.63799902,22.54747619,1471.915274,1457.423744
45,bfs,847,0.798533333,0,0,0,0.195649228,0,0.002266667,0,17839849.75,20217351.43,76.06666667,18.26666667,18,75.8,67.23513333,132.717,22.30333333,0.002266667,64.54804239,22.42057381,1499.56759,1447.204149
46,bfs,855,0.906854324,0,0,0,0.195729219,0,0.002457179,0,25796347.53,21638699.87,88.63014274,23.27917716,22.84214945,88.18303946,64.40287154,1196.649,22.31333333,0.002457179,65.45733445,22.36893095,1437.04274,1464.210594
47,bfs,862,0.904702867,0,0,0,0.196085143,0,0.002561251,0,21483786.47,42605489.48,86.6785404,23.04300608,22.49913119,86.03779322,64.21794526,1208.771,22.4,0.002561251,65.13250601,22.33199524,1438.481974,1454.538814
48,bfs,870,0.95093531,0,0,0,0.196085143,0,0.002,0,21483786.47,42605489.48,87.42048518,25.02425876,24.49056604,86.67924528,66.91555526,133.45,21.7,0.002,64.57502121,21.81005,1452.067549,1408.384441
49,bfs,877,0.908156752,0,0,0,0.20455102,0,0.002540165,0,21372665.82,41770216.99,87.19235779,23.98827616,23.66348241,86.67129831,65.75547634,1183.1,21.82333333,0.002540165,65.43970577,21.66864286,1435.003678,1417.989613
50,bfs,885,0.912777211,0,0,0,0.203957058,0,0.002467687,0,19051666.15,25816916.99,86.44472789,23.5667517,23.38732993,86.20620748,66.58191071,1195.642,21.73333333,0.002467687,65.85250113,21.72873333,1447.046859,1430.891436
51,bfs,892,0.905508779,0,0,0,0.207778587,0,0.002403426,0,19732082.46,21728252.62,88.37558887,23.98715203,23.1764454,87.80856531,65.96188694,1173.269,21.61,0.002403426,65.25165925,21.61963571,1425.436377,1410.717102
52,bfs,900,0.933294906,0,0,0,0.207778587,0,0.002018767,0,19732082.46,21728252.62,90.59785523,25.4772118,24.57908847,90.25201072,61.71353083,136.801,21.46,0.002018767,68.16795407,21.51981905,1324.372372,1466.962037
53,bfs,907,0.902513634,0,0,0,0.207164506,0,0.002583818,0,21967750.47,25544322.27,89.09029951,24.67232901,24.24139473,88.65847117,66.41912249,1162.29,21.17666667,0.002583818,65.18980188,21.47996905,1406.535617,1400.274927
54,bfs,915,0.906905605,0,0,0,0.207336283,0,0.002436087,0,20122146.02,30470731.13,88.07620452,24.21976401,23.63520157,87.42969518,67.19220206,1176.573,21.55,0.002436087,66.76723118,21.47097619,1447.991954,1433.557631
