,power_usage,application,fp_active,dram_active,sm_app_clock,run_time,energy,predicted_power_usage,predicted_run_time,predicted_energy
58,162.881,dgemm,0.993,0.484,945,5.09,829.06429,165.7783925,5.056075,838.1879859
59,164.131,dgemm,0.993,0.482,952,5.05,828.86155,163.884655,5.085625,833.4558986
60,165.05,dgemm,0.993,0.483,960,5.01,826.9005,164.638525,5.0347625,828.9158717
61,165.599,dgemm,0.993,0.486,967,4.98,824.68302,165.7194113,5.002025,828.9326383
62,166.289,dgemm,0.992,0.488,975,4.94,821.46766,170.0999825,4.945025,841.148666
63,167.825,dgemm,0.99,0.506,982,4.9,822.3425,175.0601375,4.7860625,837.8487593
64,168.699,dgemm,0.991,0.512,990,4.86,819.87714,174.1579462,4.7946875,835.0329277
65,170.287,dgemm,0.991,0.504,997,4.83,822.48621,172.4544412,4.8153875,830.4349605
66,171.304,dgemm,0.993,0.493,1005,4.79,820.54616,169.4667175,4.8469,821.3882331
67,172.2,dgemm,0.992,0.507,1012,4.76,819.672,172.4481262,4.7999625,827.744539
68,173.518,dgemm,0.993,0.516,1020,4.72,819.00496,173.0518325,4.69,811.6130944
69,174.238,dgemm,0.992,0.516,1027,4.69,817.17622,174.0188262,4.7101875,819.6612999
70,175.082,dgemm,0.992,0.509,1035,4.66,815.88212,174.509025,4.6687375,814.7368291
71,176.063,dgemm,0.993,0.524,1042,4.62,813.41106,174.0117537,4.6406625,807.52982
72,176.865,dgemm,0.991,0.509,1050,4.59,811.81035,175.6624012,4.60545,809.0044056
73,178.019,dgemm,0.992,0.516,1057,4.56,811.76664,175.8497563,4.5973,808.4340846
74,179.164,dgemm,0.991,0.542,1065,4.52,809.82128,178.743925,4.49405,803.2841361
75,180.247,dgemm,0.992,0.552,1072,4.5,811.1115,178.3464988,4.485575,799.9865964
76,181.307,dgemm,0.99,0.537,1080,4.44,805.00308,181.3936362,4.4505375,807.2991802
77,182.196,dgemm,0.99,0.521,1087,4.44,808.95024,180.541835,4.485125,809.7526977
78,183.258,dgemm,0.989,0.539,1095,4.39,804.50262,183.5632237,4.3944375,806.6571138
79,184.454,dgemm,0.989,0.54,1102,4.38,807.90852,183.173765,4.391325,804.3755336
80,186.392,dgemm,0.988,0.539,1110,4.35,810.8052,183.7717863,4.372225,803.4915984
81,188.03,dgemm,0.99,0.354,1117,4.33,814.1699,164.5513925,5.6495125,929.6351488
82,191.456,dgemm,0.986,0.563,1125,4.28,819.43168,188.9316038,4.26515,805.8216299
83,192.298,dgemm,0.985,0.56,1132,4.28,823.03544,191.1973238,4.23935,810.5523747
84,196.244,dgemm,0.982,0.563,1140,4.24,832.07456,195.5229837,4.2007125,821.3358417
85,197.62,dgemm,0.985,0.574,1147,4.23,835.9326,194.8915738,4.2172,821.896745
86,202.239,dgemm,0.983,0.556,1155,4.19,847.38141,198.7235675,4.190875,832.8256309
87,202.127,dgemm,0.985,0.561,1162,4.18,844.89086,199.25026,4.2054375,837.9345153
88,204.954,dgemm,0.981,0.589,1170,4.14,848.50956,201.7680525,4.1127875,829.8291242
89,205.913,dgemm,0.982,0.586,1177,4.12,848.36156,204.6846662,4.1323,845.8184461
90,210.274,dgemm,0.981,0.578,1185,4.09,860.02066,207.9146175,4.098225,852.0808833
91,210.299,dgemm,0.982,0.578,1192,4.09,860.12291,208.379745,4.1088375,856.1985105
92,213.735,dgemm,0.978,0.562,1200,4.05,865.62675,213.1319338,4.057,864.6762554
93,216.113,dgemm,0.98,0.588,1207,4.05,875.25765,211.8567562,4.07695,863.7294022
94,218.941,dgemm,0.972,0.619,1215,4,875.764,220.5152937,3.9862875,879.0373588
95,222.054,dgemm,0.978,0.599,1222,4,888.216,219.1062987,4.0036125,877.2167163
96,224.822,dgemm,0.972,0.617,1230,3.97,892.54334,225.1459163,3.9526875,889.931449
97,228.059,dgemm,0.978,0.611,1237,3.95,900.83305,225.3966087,3.9627875,893.1988635
98,230.615,dgemm,0.974,0.597,1245,3.92,904.0108,227.4597,3.9245625,892.6798089
99,231.319,dgemm,0.976,0.606,1252,3.92,906.77048,230.90398,3.9093125,902.6758153
100,236.741,dgemm,0.975,0.624,1260,3.88,918.55508,234.28536,3.8894875,911.2499792
101,236.991,dgemm,0.975,0.619,1267,3.88,919.52508,236.4415075,3.8809875,917.6265351
102,242.247,dgemm,0.972,0.614,1275,3.87,937.49589,239.7386638,3.8735,928.6277142
103,242.863,dgemm,0.975,0.611,1282,3.87,939.87981,240.4240238,3.8729375,931.1472177
104,246.996,dgemm,0.971,0.638,1290,3.87,955.87452,245.5918613,3.8603125,948.0613321
105,246.876,dgemm,0.975,0.549,1297,3.86,952.94136,243.1899063,3.9321375,956.2561502
106,247.087,dgemm,0.97,0.641,1305,3.86,953.75582,246.6732313,3.8626125,952.8031066
107,247.037,dgemm,0.969,0.64,1312,3.86,953.56282,246.8921775,3.8605,953.1272512
108,246.752,dgemm,0.968,0.635,1320,3.86,952.46272,247.1664725,3.8601875,954.1089276
109,247.344,dgemm,0.969,0.641,1327,3.86,954.74784,247.03019,3.8603375,953.6199061
110,247.115,dgemm,0.966,0.612,1335,3.86,953.8639,246.9693638,3.866,954.7835605
111,247.221,dgemm,0.969,0.635,1342,3.86,954.27306,247.174705,3.862,954.5887107
112,247.237,dgemm,0.968,0.608,1350,3.87,956.80719,246.9460013,3.869825,955.6378095
113,246.978,dgemm,0.969,0.614,1357,3.87,955.80486,247.24156,3.868325,956.4107076
114,247.462,dgemm,0.968,0.622,1365,3.87,957.67794,247.068545,3.869475,956.0255582
115,247.337,dgemm,0.969,0.598,1372,3.87,957.19419,246.9839775,3.883025,959.0449592
116,247.352,dgemm,0.967,0.623,1380,3.86,954.77872,247.0556725,3.868425,955.7163399
117,51.291,stream,0.007,0.417,510,3.85,197.47035,51.3621925,3.82975,196.7043567
118,51.357,stream,0.007,0.415,517,3.84,197.21088,51.5554175,3.8455125,198.2570024
119,51.343,stream,0.004,0.282,525,3.84,197.15712,54.40984375,5.0410625,274.283423
120,51.474,stream,0.004,0.282,532,3.84,197.66016,54.55408,5.26545,287.2517805
121,49.241,stream,0.01,0.369,540,3.82,188.10062,51.7067175,3.8414875,198.6307089
122,51.765,stream,0.006,0.417,547,3.82,197.7423,51.7519525,3.828675,198.1414067
123,51.823,stream,0.006,0.419,555,3.83,198.48209,51.82532875,3.82625,198.2966641
124,51.901,stream,0.006,0.414,562,3.83,198.78083,51.834185,3.843975,199.2493113
125,51.966,stream,0.006,0.416,570,3.83,199.02978,52.34646875,3.805625,199.2110301
126,53.155,stream,0.006,0.434,577,3.77,200.39435,52.6991325,3.7273375,196.4274528
127,53.249,stream,0.006,0.442,585,3.67,195.42383,53.26560375,3.665375,195.2384123
128,53.322,stream,0.008,0.45,592,3.66,195.15852,53.37275125,3.660675,195.3802962
129,53.46,stream,0.006,0.443,600,3.66,195.6636,53.29261125,3.5686,190.1800125
130,53.469,stream,0.006,0.437,607,3.5,187.1415,53.59729375,3.6688375,196.6397612
131,55.671,stream,0.006,0.469,615,3.49,194.29179,55.533455,3.457825,192.024969
132,55.786,stream,0.006,0.475,622,3.47,193.57742,55.63507375,3.4602125,192.5091776
133,55.83,stream,0.006,0.475,630,3.48,194.2884,55.9543025,3.3377125,186.7593749
134,55.92,stream,0.006,0.477,637,3.21,179.5032,56.90484,3.3345875,189.7541682
135,58.048,stream,0.007,0.513,645,3.2,185.7536,57.94612375,3.179425,184.2353545
136,58.051,stream,0.006,0.509,652,3.2,185.7632,58.0904925,3.1916,185.4016159
137,58.2,stream,0.006,0.512,660,3.2,186.24,58.016915,3.1908,185.1203724
138,58.264,stream,0.006,0.477,667,2.97,173.04408,57.184365,3.227575,184.5668269
139,60.283,stream,0.007,0.493,675,2.96,178.43768,58.62365875,3.0722,180.1036044
140,60.423,stream,0.007,0.541,682,2.96,178.85208,60.61503375,2.9197875,176.9830179
141,60.484,stream,0.007,0.548,690,2.97,179.63748,60.6748625,2.7554125,167.1842746
142,60.521,stream,0.007,0.538,697,2.68,162.19628,61.1523025,2.8689,175.4398406
143,62.703,stream,0.006,0.571,705,2.67,167.41701,62.19053,2.6930875,167.484539
144,62.752,stream,0.006,0.58,712,2.68,168.17536,62.62898,2.672725,167.3900406
145,62.825,stream,0.006,0.628,720,2.67,167.74275,63.8079275,2.6197625,167.1616157
146,63.001,stream,0.007,0.559,727,2.67,168.21267,62.264545,2.6719125,166.3654161
147,64.397,stream,0.006,0.622,735,2.58,166.14426,63.962785,2.620775,167.6320679
148,64.489,stream,0.007,0.618,742,2.59,167.02651,64.19444625,2.5912,166.3406491
149,64.611,stream,0.007,0.639,750,2.58,166.69638,65.34780875,2.524775,164.9885138
150,64.69,stream,0.007,0.611,757,2.58,166.9002,64.5716675,2.5652875,165.6448915
151,66.667,stream,0.007,0.662,765,2.43,162.00081,66.50695875,2.459025,163.5422742
152,66.719,stream,0.007,0.65,772,2.43,162.12717,66.5424125,2.4483875,162.921611
153,66.711,stream,0.007,0.637,780,2.42,161.44062,65.906455,2.4912875,164.1919275
154,66.751,stream,0.006,0.674,787,2.43,162.20493,68.2098825,2.337325,159.4286636
155,68.612,stream,0.006,0.741,795,2.3,157.8076,67.4115,2.3881875,160.9913017
156,68.829,stream,0.007,0.689,802,2.3,158.3067,68.47715625,2.335475,159.9266865
157,68.926,stream,0.008,0.672,810,2.29,157.84054,68.390215,2.2366,152.9615549
158,68.966,stream,0.007,0.702,817,2.17,149.65622,69.4127125,2.2664125,157.3178393
159,70.99,stream,0.007,0.786,825,2.17,154.0483,70.80413125,2.134575,151.1367285
160,71.059,stream,0.007,0.68,832,2.17,154.19803,70.16257375,2.1711625,152.334349
161,71.188,stream,0.007,0.75,840,2.17,154.47796,71.07937125,2.08865,148.4599288
162,71.28,stream,0.008,0.66,847,2.06,146.8368,70.9429225,2.1644625,153.5532954
163,73.461,stream,0.007,0.796,855,2.06,151.32966,72.90210375,2.0713,151.0021275
164,73.388,stream,0.007,0.77,862,2.06,151.17928,73.42667375,2.0636375,151.5260375
165,73.652,stream,0.007,0.782,870,2.06,151.72312,73.6267,2.007225,147.7853529
166,73.81,stream,0.007,0.755,877,1.98,146.1438,73.914045,2.041825,150.9195449
167,75.096,stream,0.007,0.776,885,1.98,148.69008,74.79881125,1.98405,148.4045815
168,75.207,stream,0.008,0.739,892,1.98,148.90986,74.41535375,1.9894875,148.0484161
169,75.306,stream,0.007,0.765,900,1.98,149.10588,75.17608375,1.95685,147.1083195
170,75.284,stream,0.007,0.806,907,1.94,146.05096,75.57174,1.971075,148.9575674
171,76.278,stream,0.007,0.801,915,1.94,147.97932,76.09299625,1.942775,147.8315708
172,76.491,stream,0.006,0.756,922,1.94,148.39254,76.13419875,1.9459,148.1495373
173,76.595,stream,0.007,0.839,930,1.94,148.5943,77.17184,1.9256375,148.604989
174,77.5,stream,0.007,0.828,937,1.92,148.8,76.86571625,1.9345625,148.7015322
175,77.588,stream,0.007,0.828,945,1.92,148.96896,77.4374825,1.9211875,148.7719234
176,77.453,stream,0.01,0.751,952,1.92,148.70976,77.36816375,1.9224875,148.7393277
177,77.782,stream,0.007,0.821,960,1.92,149.34144,78.08443625,1.9194,149.8752669
178,78.424,stream,0.007,0.842,967,1.92,150.57408,77.74901125,1.918425,149.1556469
179,78.378,stream,0.007,0.868,975,1.91,149.70198,78.4310575,1.911725,149.9386134
180,78.353,stream,0.006,0.82,982,1.91,149.65423,78.4609925,1.9083,149.727112
181,78.649,stream,0.007,0.852,990,1.91,150.21959,78.44068875,1.9089875,149.7422943
182,79.033,stream,0.007,0.847,997,1.9,150.1627,78.83700625,1.906525,150.3047233
183,78.984,stream,0.006,0.804,1005,1.9,150.0696,79.16943625,1.903675,150.7128766
184,79.186,stream,0.007,0.803,1012,1.9,150.4534,78.9732825,1.90315,150.2980026
185,79.153,stream,0.007,0.799,1020,1.91,151.18223,79.14213,1.904875,150.7558649
186,79.188,stream,0.007,0.832,1027,1.91,151.24908,79.2246675,1.9047375,150.9021951
187,79.464,stream,0.006,0.814,1035,1.91,151.77624,79.57808,1.90175,151.3376136
188,79.77,stream,0.006,0.823,1042,1.9,151.563,79.586395,1.9068875,151.7623018
189,79.844,stream,0.007,0.855,1050,1.9,151.7036,80.01881875,1.90065,152.0877679
190,80.157,stream,0.007,0.856,1057,1.9,152.2983,79.879965,1.9007125,151.828848
191,80.21,stream,0.007,0.814,1065,1.9,152.399,80.06419625,1.901,152.2020371
192,80.123,stream,0.007,0.808,1072,1.9,152.2337,80.2292725,1.9009375,152.5108327
193,80.499,stream,0.006,0.828,1080,1.9,152.9481,80.34222125,1.9004,152.6823573
194,80.373,stream,0.006,0.841,1087,1.9,152.7087,80.44430875,1.9000625,152.8492144
195,80.36,stream,0.006,0.853,1095,1.9,152.684,80.548635,1.90015,153.0544888
196,80.62,stream,0.006,0.865,1102,1.9,153.178,80.59544,1.9003625,153.1605518
197,80.551,stream,0.006,0.834,1110,1.9,153.0469,81.23813625,1.90645,154.8764449
198,81.609,stream,0.006,0.828,1117,1.91,155.87319,80.8791875,1.9028375,153.8999509
199,81.745,stream,0.007,0.835,1125,1.91,156.13295,81.575735,1.9092,155.7443933
200,81.562,stream,0.007,0.855,1132,1.91,155.78342,82.0163275,1.909625,156.6204294
201,82.625,stream,0.007,0.86,1140,1.91,157.81375,82.525985,1.909875,157.6143156
202,82.801,stream,0.006,0.78,1147,1.91,158.14991,84.02058125,1.9101875,160.495064
203,83.95,stream,0.007,0.873,1155,1.91,160.3445,83.67336125,1.9099875,159.8150741
204,84.142,stream,0.007,0.872,1162,1.91,160.71122,83.96321625,1.91,160.369743
205,84.359,stream,0.006,0.809,1170,1.91,161.12569,85.04571,1.9100375,162.4404953
206,85.176,stream,0.006,0.837,1177,1.91,162.68616,84.662015,1.909975,161.7023321
207,85.433,stream,0.006,0.82,1185,1.91,163.17703,85.13481875,1.91,162.6075038
208,85.424,stream,0.006,0.831,1192,1.91,163.15984,85.48283625,1.91,163.2722172
209,86.648,stream,0.006,0.805,1200,1.91,165.49768,86.0526475,1.909975,164.3584054
210,86.664,stream,0.005,0.799,1207,1.91,165.52824,84.3340825,1.9101375,161.0896935
211,86.964,stream,0.006,0.855,1215,1.91,166.10124,84.8970575,1.90995,162.149135
212,79.242,stream,0.005,0.557,1222,1.91,151.35222,84.3567925,1.9719625,166.3484314
213,88.145,stream,0.006,0.827,1230,1.91,168.35695,87.88475125,1.9099875,167.8587763
214,89.216,stream,0.006,0.813,1237,1.91,170.40256,87.32821875,1.9100375,166.8001726
215,89.297,stream,0.005,0.899,1245,1.91,170.55727,89.0408125,1.9108875,170.1469756
216,89.161,stream,0.006,0.792,1252,1.91,170.29751,89.62646,1.9128375,171.4408537
217,90.332,stream,0.006,0.802,1260,1.92,173.43744,90.55164625,1.9171875,173.6044843
218,90.985,stream,0.006,0.826,1267,1.92,174.6912,90.5082725,1.9192,173.7034766
219,91.578,stream,0.004,0.746,1275,1.92,175.82976,88.7278525,1.929175,171.1715548
220,91.947,stream,0.005,0.838,1282,1.92,176.53824,92.35400125,1.9201125,177.3300722
221,92.87,stream,0.005,0.817,1290,1.92,178.3104,91.90034875,1.9200375,176.4521159
222,92.773,stream,0.006,0.855,1297,1.92,178.12416,92.52990375,1.92005,177.6620417
223,92.948,stream,0.005,0.861,1305,1.92,178.46016,93.45719125,1.9201875,179.4553304
224,93.795,stream,0.007,0.878,1312,1.92,180.0864,93.34579375,1.92035,179.256595
225,94.223,stream,0.005,0.803,1320,1.92,180.90816,94.767755,1.9265875,182.5783722
226,95.366,stream,0.006,0.756,1327,1.93,184.05638,94.38044375,1.9226875,181.4640994
227,95.381,stream,0.005,0.813,1335,1.93,184.08533,95.296785,1.927525,183.6869355
228,96.328,stream,0.005,0.807,1342,1.93,185.91304,96.22241875,1.9294125,185.6527375
229,96.584,stream,0.005,0.848,1350,1.93,186.40712,97.70187,1.9296625,188.5316347
230,97.909,stream,0.004,0.795,1357,1.93,188.96437,96.53896375,1.930025,186.3226135
231,97.765,stream,0.007,0.853,1365,1.93,188.68645,98.74831625,1.9295875,190.5435167
232,99.261,stream,0.005,0.857,1372,1.93,191.57373,97.9688625,1.9298,189.0603109
233,99.443,stream,0.005,0.853,1380,1.93,191.92499,98.1831425,1.929925,189.4861013
234,56.59,tpacf,0.131,0.001,510,16.22,917.8898,57.0870125,15.93645,909.7643204
235,54.863,tpacf,0.1225,0.001,517,16.24,890.97512,56.04748625,15.899625,891.1340136
236,55.53,tpacf,0.1215,0.001,525,15.86,880.7058,55.61819625,15.9737375,888.4304671
237,55.495,tpacf,0.1215,0.001,532,15.82,877.9309,55.93194,15.7727125,882.1984092
238,58.069,tpacf,0.1305,0.001,540,15.56,903.55364,56.395125,15.9483125,899.407077
239,55.935,tpacf,0.1215,0.001,547,15.8,883.773,56.6823775,15.445675,875.4975811
240,56.602,tpacf,0.121,0.001,555,15.18,859.21836,56.3591175,15.5688,877.4438285
241,56.171,tpacf,0.121,0.001,562,15.45,867.84195,57.04886125,15.2025,867.2853132
242,59.126,tpacf,0.13,0.001,570,15,886.89,57.661435,15.32245,883.5144547
243,57.427,tpacf,0.1215,0.001,577,15.08,865.99916,58.41253,15.022275,877.4890891
244,58.462,tpacf,0.1205,0.001,585,14.71,859.97602,59.65763625,15.862725,946.332678
245,60.456,tpacf,0.1305,0.001,592,14.78,893.53968,59.4893875,14.770975,878.7162555
246,61.061,tpacf,0.131,0.001,600,14.42,880.49962,60.3990475,15.1706875,916.2950749
247,59.807,tpacf,0.121,0.001,607,14.43,863.01501,60.50838125,14.432775,873.3038522
248,60.665,tpacf,0.1215,0.001,615,14.21,862.04965,60.16168125,14.399275,866.2845928
249,60.072,tpacf,0.1195,0.001,622,14.18,851.82096,60.89868,15.4453625,940.6021884
250,62.922,tpacf,0.13,0.001,630,13.95,877.7619,60.987805,14.11545,860.8703121
251,60.944,tpacf,0.1205,0.001,637,13.96,850.77824,61.76268,14.0630125,868.5693409
252,61.758,tpacf,0.1195,0.001,645,13.88,857.20104,61.803805,14.1942375,877.2578866
253,61.233,tpacf,0.1205,0.001,652,13.77,843.17841,62.1539025,13.857825,861.3179039
254,62.312,tpacf,0.1205,0.001,660,13.62,848.68944,62.630125,13.6059875,852.1446979
255,62.77,tpacf,0.12,0.001,667,13.47,845.5119,63.268195,14.00725,886.2134244
256,66.475,tpacf,0.13,0.001,675,13.27,882.12325,64.672185,13.546625,876.0898381
257,65.368,tpacf,0.13,0.001,682,13.31,870.04808,66.835965,13.2632125,886.4596064
258,67.323,tpacf,0.1305,0.001,690,12.97,873.17931,66.776415,13.1399625,877.439589
259,67.013,tpacf,0.1305,0.001,697,12.94,867.14822,67.26648375,13.0983125,881.0774249
260,64.791,tpacf,0.12,0.001,705,12.86,833.21226,65.93536875,13.0275625,858.9771374
261,65.064,tpacf,0.121,0.001,712,12.9,839.3256,66.18606375,12.9039375,854.06083
262,66.169,tpacf,0.1205,0.001,720,12.8,846.9632,66.22892375,12.77725,846.223516
263,66.544,tpacf,0.1205,0.001,727,12.69,844.44336,66.3709125,12.76185,847.0156297
264,67.063,tpacf,0.1205,0.001,735,12.54,840.97002,66.6459525,12.678325,844.9590457
265,66.643,tpacf,0.12,0.001,742,12.61,840.36823,67.10473,12.5033,839.0305706
266,67.561,tpacf,0.12,0.001,750,12.38,836.40518,67.76918375,12.6151875,854.9209597
267,68.77,tpacf,0.121,0.001,757,12.46,856.8742,68.1525225,12.3947625,844.7343302
268,69.456,tpacf,0.1205,0.001,765,12.28,852.91968,68.87293,12.316225,848.2545023
