,Unnamed: 0,index,application,sm_app_clock,gr_engine_active,sm_active,sm_occupancy,TENSO,dram_active,fp64_active,fp32_active,FP16A,pcie_tx_bytes,pcie_rx_bytes,gpu_utilization,mem_copy_utilization,MUSAM,GUSAM,power_usage,total_energy_consumption,run_time,fp_active,predicted_power_usage,predicted_run_time,predicted_energy,n_power_usage,predicted_n_power_usage,n_run_time,predicted_n_run_time,predicted_n_energy,energy
16,16,16,bfs,630,0.958222222,0,0,0,0.138182901,0.0,0.002,0,18434985.73,37078748.97,95.22222222,20.66666667,20.66666667,94.66666667,56.41722222,112.766,28.17333333,0.002,54.06108724,28.23499524,1526.414541,4.050344297,52.44480076,3.37325505,28.32477633,1485.487251,1589.4612071567424
17,17,17,bfs,637,0.933677582,0,0,0,0.145616184,0.0,0.00243073,0,16592343.69,18019285.96,90.34288413,18.20088161,17.7459068,89.82588161,55.43170529,1361.513,28.45333333,0.00243073,55.43672679,28.28634762,1568.102525,4.033031151,55.53213935,3.38280709,28.17669539,1564.712175,1577.2167876666942
18,18,18,bfs,645,0.922239837,0,0,0,0.144752613,0.0,0.002430604,0,21868746.87,65752980.84,92.48722416,18.27264808,17.75900116,91.92915215,54.90553746,1338.853,27.99,0.002430604,55.45076202,28.07497619,1556.778823,4.023663435,55.28827096,3.366950943,28.20575663,1559.447515,1536.8059935053998
19,19,19,bfs,652,0.938653428,0,0,0,0.146810425,0.0,0.002427552,0,16035017.44,17513946.06,92.46943841,18.53676699,18.13527769,92.05305616,55.58359944,1343.979,28.17333333,0.002427552,55.46100689,28.1096119,1558.987379,4.035719181,55.44143249,3.37325505,28.01621141,1553.258894,1565.9752747043212
20,20,20,bfs,660,0.926439192,0,0,0,0.152235355,0.0,0.00249606,0,16985174.78,18619500.54,88.44227475,18.558753,18.07262761,87.99417609,56.68042275,1341.871,27.41,0.00249606,56.35654781,27.36293095,1542.080326,4.054917822,56.34235137,3.346741196,27.28225205,1537.146231,1553.6103875775
21,21,21,bfs,667,0.931863898,0,0,0,0.154053355,0.0,0.002490735,0,16623582.6,18317679.31,89.75111821,18.98051118,18.53099042,89.10798722,56.82835687,1328.576,27.04,0.002490735,56.74154109,27.04153333,1534.378275,4.057479259,56.67424065,3.333632062,27.05230435,1533.168807,1536.6387697648
22,22,22,bfs,675,0.933523377,0,0,0,0.154457787,0.0,0.002412042,0,16860310.79,18801849.02,92.20282543,19.2926337,18.74806593,91.4086781,57.12352842,1312.442,26.91666667,0.002412042,56.47156278,26.9283,1520.683184,4.062570546,56.38146423,3.329223882,26.93690212,1518.741983,1537.5749734954118
23,23,23,bfs,682,0.925144099,0,0,0,0.155123036,0.0,0.002474089,0,18251228.07,25299357.05,91.91240388,19.10096958,18.62320294,91.38448679,56.69236677,1312.436,26.90333333,0.002474089,57.04395497,26.88310476,1533.518617,4.055124873,56.95837481,3.328746156,26.901398,1532.25991,1525.2136404799253
24,24,24,bfs,690,0.929691156,0,0,0,0.16372551,0.0,0.002503401,0,17038692.92,18772464.65,91.42857143,20.03809524,19.42959184,90.83877551,58.3622568,1280.212,25.91333333,0.002503401,57.28112639,26.05419285,1492.413514,4.083658617,56.97432019,3.292621827,26.17419334,1491.256872,1512.3606143494592
25,25,25,bfs,697,0.880350923,0,0,0,0.16372551,0.0,0.002976253,0,17038692.92,18772464.65,83.7414248,17.03430079,16.40897098,83.21635884,51.26226121,120.167,26.39,0.002976253,57.36224641,26.16523571,1500.896698,3.956274528,58.20671147,3.310177983,25.96895537,1511.567492,1352.8110733319
26,26,26,bfs,705,0.928071649,0,0,0,0.159314364,0.0,0.002549537,0,19463598.69,44432623.68,92.30167981,20.2691121,19.73808708,91.7404868,58.47442441,1275.957,25.63333333,0.002549537,56.55435934,25.82866428,1460.723561,4.085546378,56.00972276,3.282163564,26.01408038,1457.04143,1498.8944121814184
27,27,27,bfs,712,0.928070108,0,0,0,0.164929892,0.0,0.002439484,0,17164302.96,18621963.38,88.5936519,19.44715731,18.91524241,88.07080572,58.34716184,1301.417,26.47333333,0.002439484,58.82153234,26.15216666,1538.310517,4.083404299,58.72893523,3.313215837,26.06242259,1530.618328,1544.643864249776
28,28,28,bfs,720,0.925752101,0,0,0,0.167019608,0.0,0.002467087,0,17670808.63,19537943.03,91.29446779,20.67787115,20.26085434,90.78396359,59.27470798,1268.23,25.34,0.002467087,58.83740305,25.36453809,1492.383551,4.098912579,58.83316834,3.271088696,25.39702122,1494.187225,1502.0211002132
29,29,29,bfs,727,0.922296595,0,0,0,0.16519656,0.0,0.00271218,0,19783408.23,40281242.42,92.06984907,20.70937171,20.17374517,91.35696736,59.02943173,1259.471,25.06,0.00271218,57.19252096,25.29463809,1446.664119,4.094834971,57.86843093,3.260401572,25.42007573,1471.019897,1479.2775591538
30,30,30,bfs,735,0.923639589,0,0,0,0.1703221,0.0,0.00242249,0,21143790.09,48400594.85,91.31748847,20.49982263,19.95778645,90.74565449,59.27098936,1268.434,25.10333333,0.00242249,59.358424,25.35725238,1505.166538,4.098850883,59.41928501,3.26206302,25.34078614,1505.731394,1487.8994027029635
31,31,31,bfs,742,0.918767974,0,0,0,0.165526144,0.0,0.002425563,0,17948024.36,19868603.08,87.93609296,19.72803195,19.31808279,87.47639797,59.06055556,1306.087,25.76,0.002425563,58.93370317,25.48474524,1501.910411,4.095353313,59.02453786,3.286908235,25.45716717,1502.597527,1521.3999112256001
32,32,32,bfs,750,0.921336134,0,0,0,0.172747517,0.0,0.002466769,0,17229790.05,19129594.4,87.71772345,20.68525592,20.09931245,87.1329259,60.37907716,1264.722,24.55666667,0.002466769,60.34800164,24.64464589,1487.25513,4.117069014,60.40499194,3.240898209,24.64275227,1488.545252,1482.7088716603303
33,33,33,bfs,757,0.924770475,0,0,0,0.174822042,0.0,0.002516684,0,17490101.74,21345957.58,88.93899562,21.15503876,20.40040445,88.38961914,60.54922009,1259.853,24.7,0.002516684,60.5357716,24.54856969,1486.066608,4.119837181,60.52137365,3.246490992,24.56577411,1486.754394,1495.565736223
34,34,34,bfs,765,0.921411852,0,0,0,0.175357778,0.0,0.00253963,0,20760644.97,47330619.99,91.20851852,21.55592593,21.14296296,90.90666667,60.72817593,1245.256,24.44666667,0.00253963,60.68290315,24.55307857,1489.952089,4.122740487,60.72094642,3.236584759,24.56124567,1491.382083,1484.6014744378272
35,35,35,bfs,772,0.92187301,0,0,0,0.175063689,0.0,0.002368932,0,18331371.15,20165898.75,90.82524272,21.37165049,20.73436893,90.32038835,60.81068311,1247.305,24.54333333,0.002368932,60.75655245,24.41345194,1483.277173,4.124076215,59.92974327,3.240376356,24.46077582,1465.928015,1492.496865593731
36,36,36,bfs,780,0.860071429,0,0,0,0.185,0.0,0.002357143,0,17199660.0,19075568.0,89.78571429,21.21428571,20.5,89.57142857,62.99978571,100.311,23.63666667,0.002357143,61.71461297,23.77737684,1467.411609,4.158879735,60.94090578,3.204235848,23.78191499,1449.291441,1489.1049351086992
37,37,37,bfs,787,0.918615624,0,0,0,0.181649825,0.0,0.00248426,0,18229645.63,20155497.1,90.8297707,22.12281384,21.67158958,90.49630781,61.68195764,1217.152,23.94,0.00248426,62.26976925,23.8362,1484.274674,4.138073649,62.28001991,3.21647294,23.84276573,1484.927924,1476.6660659016002
38,38,38,bfs,795,0.923538917,0,0,0,0.180664955,0.0,0.002413275,0,17557436.24,19522636.36,88.24654287,21.77518767,21.23706045,87.6325563,62.12534729,1242.099,23.88333333,0.002413275,61.96227339,23.96724762,1485.065149,4.145122389,61.889713,3.214198235,23.94448955,1481.917586,1483.760377569082
39,39,39,bfs,802,0.9199356,0,0,0,0.1812664,0.0,0.0024712,0,18138546.09,20258092.84,87.552,21.5008,20.9808,87.1792,61.7989952,1244.265,24.07666667,0.0024712,62.45288834,23.91942143,1493.836956,4.139939073,62.51424482,3.221937799,23.93505417,1496.281836,1487.91380797133
40,40,40,bfs,810,0.914517811,0,0,0,0.189169418,0.0,0.002526064,0,19329001.83,24497897.13,88.38227628,22.41225022,21.91659427,87.63814075,63.08094483,1217.686,23.16666667,0.002526064,63.17145849,23.18121905,1464.391417,4.160147047,63.09950238,3.184974273,23.18029519,1462.665091,1461.3752221052698
41,41,41,bfs,817,0.913768447,0,0,0,0.189547493,0.0,0.002611496,0,20278012.28,37460300.85,88.2531594,22.51161843,22.2270689,88.15165104,63.09166572,1210.952,23.19,0.002611496,62.75690233,23.16605,1453.829537,4.160314336,62.86012456,3.185939325,23.16829196,1456.361719,1463.0957280468
42,42,42,bfs,825,0.915880609,0,0,0,0.190934541,0.0,0.002577192,0,20436782.54,40818964.95,87.92342528,22.52573075,21.87361054,87.38452038,63.55778304,1219.378,23.10333333,0.002577192,63.18565954,23.16932857,1463.969307,4.167560684,63.27580928,3.182350143,23.15770546,1465.322554,1468.3966472889408
43,43,43,bfs,832,0.649333333,0,0,0,0.135333333,0.0,0.002,0,14112275.33,17709522.0,78.33333333,20.0,19.33333333,78.0,54.941,97.306,23.25,0.002,58.18180553,23.13513095,1346.04369,4.024297564,56.10768625,3.188416617,23.14495495,1298.609871,1277.37825
44,44,44,bfs,840,0.912788165,0,0,0,0.195649228,0.0,0.002499142,0,17839849.75,20217351.43,87.5102916,23.05746141,22.73327616,87.08533448,64.99478688,1205.983,22.64666667,0.002499142,64.65134305,22.54747619,1457.724618,4.189575752,64.78182353,3.163222161,22.55951152,1461.446294,1471.9152737590493
45,45,45,bfs,847,0.798533333,0,0,0,0.195649228,0.0,0.002266667,0,17839849.75,20217351.43,76.06666667,18.26666667,18.0,75.8,67.23513333,132.717,22.30333333,0.002266667,64.58128333,22.42057381,1447.94943,4.222959584,64.55164624,3.148596412,22.3919949,1445.440134,1499.5675901459829
46,46,46,bfs,855,0.906854324,0,0,0,0.195729219,0.0,0.002457179,0,25796347.53,21638699.87,88.63014274,23.27917716,22.84214945,88.18303946,64.40287154,1196.649,22.31333333,0.002457179,65.45611936,22.36893095,1464.183414,4.180566165,65.40056577,3.149025443,22.37279791,1463.193641,1437.0427400811905
47,47,47,bfs,862,0.904702867,0,0,0,0.196085143,0.0,0.002561251,0,21483786.47,42605489.48,86.6785404,23.04300608,22.49913119,86.03779322,64.21794526,1208.771,22.4,0.002561251,65.16376952,22.33199524,1455.23699,4.177734665,65.2272707,3.152736022,22.34052355,1457.211377,1438.4819738239999
48,48,48,bfs,870,0.95093531,0,0,0,0.196085143,0.0,0.002,0,21483786.47,42605489.48,87.42048518,25.02425876,24.49056604,86.67924528,66.91555526,133.45,21.7,0.002,64.70041328,21.81005,1411.119249,4.218265099,64.35938727,3.122364924,21.79459961,1402.687077,1452.067549142
49,49,49,bfs,877,0.908156752,0,0,0,0.20455102,0.0,0.002540165,0,21372665.82,41770216.99,87.19235779,23.98827616,23.66348241,86.67129831,65.75547634,1183.1,21.82333333,0.002540165,65.4548141,21.66864286,1418.31699,4.201036336,65.35913683,3.127783404,21.66757944,1416.174289,1435.0036784407484
50,50,50,bfs,885,0.912777211,0,0,0,0.203957058,0.0,0.002467687,0,19051666.15,25816916.99,86.44472789,23.5667517,23.38732993,86.20620748,66.58191071,1195.642,21.73333333,0.002467687,65.88328117,21.72873333,1431.560248,4.213340354,65.70550468,3.123832276,21.7189018,1427.051404,1447.046859208727
51,51,51,bfs,892,0.905508779,0,0,0,0.207778587,0.0,0.002403426,0,19732082.46,21728252.62,88.37558887,23.98715203,23.1764454,87.80856531,65.96188694,1173.269,21.61,0.002403426,65.29234261,21.61963571,1411.596662,4.204123606,65.19559584,3.118392286,21.61374903,1409.121246,1425.4363767733998
52,52,52,bfs,900,0.933294906,0,0,0,0.207778587,0.0,0.002018767,0,19732082.46,21728252.62,90.59785523,25.4772118,24.57908847,90.25201072,61.71353083,136.801,21.46,0.002018767,68.10035143,21.51981905,1465.50724,4.138577227,67.67291193,3.111735949,21.52229487,1456.476365,1324.3723716118002
53,53,53,bfs,907,0.902513634,0,0,0,0.207164506,0.0,0.002583818,0,21967750.47,25544322.27,89.09029951,24.67232901,24.24139473,88.65847117,66.41912249,1162.29,21.17666667,0.002583818,65.15048682,21.47996905,1399.43044,4.210928694,65.0477315,3.099040685,21.40439984,1392.307654,1406.5356174846306
54,54,54,bfs,915,0.906905605,0,0,0,0.207336283,0.0,0.002436087,0,20122146.02,30470731.13,88.07620452,24.21976401,23.63520157,87.42969518,67.19220206,1176.573,21.55,0.002436087,66.73810974,21.47097619,1432.932365,4.222330219,66.83314394,3.115735066,21.47606942,1435.313239,1447.991954393
