,sm_app_clock,application,gr_engine_active,sm_active,sm_occupancy,TENSO,dram_active,fp64_active,fp32_active,FP16A,pcie_tx_bytes,pcie_rx_bytes,gpu_utilization,mem_copy_utilization,MUSAM,GUSAM,power_usage,total_energy_consumption,run_time,fp_active
288,1230,LAMMPS,0.978075597,0,0,0,0.338180371,0.212363395,0.079147215,0,21761493.45,47753042.07,92.10344828,51.66312997,51.12068966,91.47082228,148.6884019,464.388,6,0.29151061
289,1230,LSTM,0.420697835,0,0,0,0.001825715,0,0.001147949,0,51923349.39,157418400.6,42.05950874,0,0,41.58844011,36.76318087,4417.713,117.8109184,0.001147949
290,1230,NAMD,0.441015259,0,0,0,0.035272297,0.002516656,0.125845476,0,2246328417,951042053.5,28.86804212,3.517945412,3.062970127,28.36922416,68.34378251,5761.056,91.6075855,0.128362132
291,1237,LAMMPS,0.973696676,0,0,0,0.341666205,0.212412742,0.082916898,0,28778871.79,87882158.18,93.21745152,52.04709141,51.70775623,92.50554017,154.1657839,444.602,6,0.29532964
292,1237,LSTM,0.44356128,0,0,0,0.001676736,0,0.001157804,0,53820253.23,162155116,44.53727843,0,0,44.18242637,36.74238334,4129.377,115.6625841,0.001157804
293,1237,NAMD,0.49072563,0,0,0,0.041231513,0.002981513,0.142211555,0,2661083657,1174877697,31.12521008,3.818277311,3.269537815,30.52815126,71.30030546,5599.29,83.2557485,0.145193068
294,1245,LAMMPS,0.946310847,0,0,0,0.328752646,0.21389418,0.075376984,0,46325553.51,71610923,91.90608466,51.19312169,51.48941799,90.88359788,151.4453439,524.205,6,0.289271164
295,1245,LSTM,0.3982,0,0,0,0.001,0,0.001,0,54905396,166114866,40,0,0,40,37.338,42.237,116.2690536,0.001
296,1245,NAMD,0.45107221,0,0,0,0.037740044,0.003410941,0.129559519,0,2453753346,1096525060,27.44945295,3.327571116,2.83654267,26.8536105,69.84192407,6070.459,82.7331005,0.13297046
297,1252,LAMMPS,0.978201657,0,0,0,0.323964088,0.229708564,0.084575967,0,27282335.53,15697305.75,93.29005525,53.0621547,52.57872928,92.57734807,157.2296934,529.269,6,0.314284531
298,1252,LSTM,0.387,0,0,0,0.001,0,0.001,0,71111111,216739853,39.64387464,0,0,39.3048433,37.34893447,80.424,116.5559404,0.001
299,1252,NAMD,0.409544473,0,0,0,0.032393089,0.002992539,0.120384057,0,2159035948,909372185.7,22.60789319,2.74592578,2.25780483,22.21814255,64.77948341,6663.365,90.4223405,0.123376596
300,1260,LAMMPS,0.944421333,0,0,0,0.327392,0.2024,0.076732,0,36661388.68,100219143.7,90.992,51.164,50.61866667,90.20266667,152.9226147,474.966,6,0.279132
301,1260,LSTM,0.437634681,0,0,0,0.001854352,0,0.001150788,0,55298511.16,169362388.2,44.23550377,0,0,43.5564085,37.55646162,4180.061,114.8712134,0.001150788
302,1260,NAMD,0.465909409,0,0,0,0.038431707,0.002597011,0.13592085,0,2317914659,988951964.3,27.89259865,3.452953537,2.938594443,27.56479103,71.30231637,5857.884,78.491215,0.138517861
303,1267,LAMMPS,0.978977454,0,0,0,0.378912467,0.216302387,0.075397878,0,27096865.43,27549150.09,91.85941645,52.87665782,52.88196286,91.09681698,155.7405637,477.562,6,0.291700265
